"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","abund_gini","long_count","max_geneDist","genomic_range","ort_fisher_test","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"ABCA3","-",45,12,62,17,2,2,0.105932203389831,0.352112676056338,0.0928792569659445,1,0,62654,0.420133925902154,TRUE,TRUE,TRUE,FALSE,NA
"ABCA4","-",1,3,1,4,1,1,0.0503018108651912,0.641025641025641,0,1,23218,128392,1,FALSE,FALSE,TRUE,FALSE,NA
"ABCA5","-",41,18,61,31,2,2,0.128205128205128,0.089126559714795,0.0566959921798631,1,12979,95059,0.662320399579987,FALSE,TRUE,TRUE,FALSE,NA
"ABCA6","-",7,2,9,2,1,2,0.0674763832658569,0.127388535031847,0,1,6293,54193,0.181818181818182,FALSE,TRUE,TRUE,FALSE,NA
"ABCA7","+",41,10,63,13,9,1,0.452261306532663,0.510204081632653,0,1,0,20588,0.239873016198942,FALSE,FALSE,TRUE,FALSE,NA
"ABCA8","-",4,0,4,0,1,0,0.0544365813826892,0,0,0,72785,68889063,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCA9","-",0,3,0,3,0,1,0,2.38095238095238,0,1,4997,69065214,1,FALSE,FALSE,TRUE,FALSE,NA
"ABCB1","-",22,12,23,17,3,1,0.106951871657754,0.510204081632653,-0.000000000000000888178419700125,2,0,201825,0.523107089291739,TRUE,FALSE,TRUE,FALSE,NA
"ABCB10","-",11,4,12,4,1,2,0.0822368421052631,0.389105058365759,0.15,1,10332,51474,0.569230769230769,TRUE,TRUE,TRUE,FALSE,NA
"ABCB11","-",4,5,4,5,1,1,0.0424088210347752,0.543478260869565,0,1,15053,124426,0.523809523809524,FALSE,FALSE,TRUE,FALSE,NA
"ABCB4","-",3,1,3,1,1,1,0.0627352572145546,0.0316957210776545,0,1,0,22613,1,TRUE,FALSE,FALSE,FALSE,NA
"ABCB5","+",3,3,3,3,1,1,0.0492853622474125,0.389105058365759,0,1,73953,216721,1,TRUE,FALSE,TRUE,FALSE,NA
"ABCB6","-",8,4,9,5,2,1,0.0922509225092251,0.0329380764163373,0,1,38,7038,0.0859140859140859,FALSE,FALSE,TRUE,FALSE,NA
"ABCB7","-",9,5,16,5,1,1,0.0443655723158829,0.393700787401575,0,1,25622,105773,1,FALSE,FALSE,TRUE,FALSE,NA
"ABCB8","+",8,2,8,2,1,1,0.0558347292015634,0.226757369614512,0,1,1488,8494,1,TRUE,FALSE,FALSE,FALSE,NA
"ABCB9","-",7,4,7,4,1,1,0.0298507462686567,0.543478260869565,0,1,8448,45219,0.236363636363637,FALSE,FALSE,TRUE,FALSE,NA
"ABCC1","+",43,23,81,39,3,2,0.276243093922652,0.568181818181818,0.0462789243277033,1,30447,215057,0.241502043119768,TRUE,TRUE,TRUE,FALSE,NA
"ABCC10","+",10,6,11,8,2,2,0.0822368421052631,0.62111801242236,0.0972222222222223,1,27476,46475,1,FALSE,TRUE,TRUE,FALSE,NA
"ABCC11","-",1,2,1,2,1,1,0.0424088210347752,0.336700336700337,0,1,71,47384,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC13","+",2,2,2,2,1,1,0.024390243902439,0.33112582781457,0,1,13920,44435,1,FALSE,FALSE,TRUE,FALSE,NA
"ABCC2","+",1,2,1,2,1,1,0.0503018108651912,0.352112676056338,0,1,5292,43967,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC3","+",0,1,0,1,0,2,0,0.0126806999746386,0,1,0,50645187,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC4","-",36,14,52,24,2,6,0.253164556962025,1.40515222482436,0.231770833333333,3,48667,349011,0.80771371979071,FALSE,TRUE,TRUE,FALSE,NA
"ABCC5","-",37,16,51,26,2,5,0.383141762452107,0.851063829787234,0.203619909502263,1,2046,99711,0.810491697250124,FALSE,FALSE,TRUE,FALSE,NA
"ABCC6P1","+",1,1,1,1,1,1,0.0268889486421081,0.510204081632653,0,1,28970,23889,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC6P2","+",1,0,1,0,1,0,0.015470297029703,0,0,0,23440,14798990,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC8","-",1,1,1,1,1,1,0.00777121541809138,0.555555555555556,0,1,0,27819,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC9","-",0,1,0,1,0,1,0,0.0127959053103007,0,1,29856,21966551,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCD1","+",9,3,12,3,1,16,0.073909830007391,1.10497237569061,0.444444444444444,2,9057,25669,1,FALSE,FALSE,TRUE,FALSE,NA
"ABCD2","-",70,37,119,91,4,8,0.172413793103448,2.4390243902439,0.189319452477346,3,52324,118680,0.330732358156501,FALSE,FALSE,TRUE,FALSE,NA
"ABCD3","+",27,13,37,16,1,5,0.0871839581517001,1.12866817155756,0.276041666666667,1,71690,172727,0.135698447823988,FALSE,FALSE,TRUE,FALSE,NA
"ABCD4","-",4,0,4,0,1,0,0.0234192037470726,0,0,0,5271,74308336,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCE1","+",36,18,48,25,2,3,0.117096018735363,0.641025641025641,0.0711111111111116,2,1539,27282,0.623850891328257,FALSE,FALSE,TRUE,FALSE,NA
"ABCF1","+",69,24,178,55,6,5,0.229621125143513,3.2258064516129,0.195134443021766,1,4281,27436,0.54126912166596,FALSE,TRUE,TRUE,FALSE,NA
"ABCF2","-",17,6,20,7,2,2,0.0499251123315027,33.3333333333333,0.107142857142857,1,1753,17196,0.408212560386474,FALSE,FALSE,TRUE,FALSE,NA
"ABCF3","+",9,5,9,7,2,4,0.0931098696461825,0.0791765637371338,0.285714285714286,1,16648,25237,0.126223776223776,FALSE,TRUE,TRUE,FALSE,NA
"ABCG1","+",16,7,18,8,3,1,0.0920810313075506,0.245700245700246,0,1,21446,100434,0.419846057832328,FALSE,FALSE,TRUE,FALSE,NA
"ABCG2","-",10,6,10,6,1,5,0.0379218809252939,2.68817204301075,0.333333333333333,1,1513,142378,0.118131868131868,FALSE,TRUE,TRUE,FALSE,NA
"ABCG4","+",1,1,1,1,1,1,0.0305343511450382,0.340136054421769,0,1,4327,8814,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCG5","-",0,1,0,1,0,1,0,0.62111801242236,0,1,0,43833675,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD1","+",2,2,2,2,2,1,0.0310366232153942,3.7037037037037,0,1,0,5781,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD10","+",9,14,9,15,1,3,0.0434593654932638,2,0.104166666666667,2,0,12343,0.0872208421542113,FALSE,FALSE,TRUE,FALSE,NA
"ABHD11","-",1,0,1,0,1,0,0.0732600732600733,0,0,0,0,73736421,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD11-AS1","+",1,1,1,1,1,1,0.0363636363636364,0.892857142857143,0,1,2216,3053,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD12","-",12,6,12,7,1,1,0.172711571675302,0.239808153477218,0,1,0,78262,0.656168135270302,FALSE,FALSE,TRUE,FALSE,NA
"ABHD12B","+",2,5,2,5,1,1,0.0183722212015433,0.3690036900369,0,1,20400,30906,0.285714285714286,FALSE,FALSE,TRUE,FALSE,NA
"ABHD13","+",20,9,21,12,2,11,0.0692041522491349,0.296176628971459,0.4375,2,5802,18553,1,FALSE,TRUE,TRUE,FALSE,NA
"ABHD14A","+",3,2,3,3,1,1,0.0558347292015634,0.126103404791929,0,1,0,1665,1,FALSE,FALSE,TRUE,FALSE,NA
"ABHD14A-ACY1","+",3,2,3,2,1,1,0.0999000999000999,0.0350017500875044,0,1,1963,8690,0.4,FALSE,FALSE,TRUE,FALSE,NA
"ABHD14B","-",0,2,0,2,0,1,0,0.0384172109104879,0,1,0,51972047,1,FALSE,FALSE,TRUE,FALSE,NA
"ABHD15","-",1,1,1,1,1,1,0.0281452293836195,0.00729554242357919,0,1,4098,3065,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD16A","-",54,22,121,45,4,2,0.0922509225092251,1.5625,0.111977030352747,2,2180,17579,0.0233922928049731,FALSE,TRUE,TRUE,FALSE,NA
"ABHD16B","+",2,1,2,1,1,1,0.0367511944138185,0.425531914893617,0,1,15534,15058,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD17A","-",45,21,78,30,3,5,0.235849056603774,3.08641975308642,0.277304964539007,3,9757,25005,0.669598990986621,FALSE,FALSE,TRUE,FALSE,NA
"ABHD17B","-",24,11,29,16,2,5,0.112866817155756,0.376222723852521,0.217261904761905,2,43963,89702,0.27894793321548,FALSE,TRUE,TRUE,FALSE,NA
"ABHD17C","+",1,3,1,3,1,1,0.0225682690137666,1.51515151515152,0,1,37324,107464,1,FALSE,FALSE,TRUE,FALSE,NA
"ABHD18","+",25,15,36,20,2,3,0.485436893203883,0.970873786407767,0.119565217391305,1,3457,75175,0.412829475564681,FALSE,TRUE,TRUE,FALSE,NA
"ABHD2","+",36,16,51,25,3,2,0.108873162765378,1.42857142857143,0.0942857142857152,1,81316,194711,0.628460948361311,TRUE,TRUE,TRUE,FALSE,NA
"ABHD3","-",11,6,12,6,2,1,0.383141762452107,0.558659217877095,0,1,15240,70564,0.321266968325792,FALSE,FALSE,TRUE,FALSE,NA
"ABHD4","+",2,2,2,2,1,2,0.0281452293836195,0.0552181115405853,0.166666666666667,1,0,7881,1,FALSE,TRUE,TRUE,FALSE,NA
"ABHD5","+",4,7,4,7,1,1,0.106951871657754,0.561797752808989,0,1,147793,183870,0.575757575757576,FALSE,FALSE,TRUE,FALSE,NA
"ABHD6","+",3,2,3,2,1,2,0.0585480093676815,0.063391442155309,0.166666666666667,1,8772,39674,1,FALSE,FALSE,TRUE,FALSE,NA
"ABHD8","-",7,2,9,2,2,1,0.0922509225092251,0.0424628450106157,0,1,0,4673,0.490909090909091,FALSE,FALSE,TRUE,FALSE,NA
"ABI1","-",43,24,49,43,2,11,0.112866817155756,1.38713745271122,0.29578488372093,1,21463,135534,1,TRUE,TRUE,TRUE,FALSE,NA
"ABI2","+",32,11,46,16,2,2,0.161290322580645,1.01010101010101,0.0972222222222223,2,291,102610,0.0402454283516161,FALSE,FALSE,TRUE,FALSE,NA
"ABI3","+",13,2,15,2,1,1,0.0579038795599305,0.233100233100233,0,1,0,9757,1,FALSE,FALSE,TRUE,FALSE,NA
"ABI3BP","-",9,1,9,1,2,1,0.146520146520147,0.37593984962406,0,1,104152,347088,1,FALSE,FALSE,FALSE,FALSE,NA
"ABL1","+",53,21,80,40,3,4,0.383141762452107,2.4390243902439,0.137765957446808,2,0,163039,0.439604284996803,TRUE,FALSE,TRUE,FALSE,NA
"ABL2","-",25,9,35,10,2,1,0.0732064421669107,0.239808153477218,0,1,27333,147168,1,TRUE,FALSE,TRUE,FALSE,NA
"ABLIM1","-",32,25,49,46,2,6,0.0674763832658569,0.584795321637427,0.189655172413794,2,0,297400,0.225211919600124,FALSE,TRUE,TRUE,FALSE,NA
"ABLIM2","-",4,4,4,4,2,1,0.0920810313075506,0.436681222707424,0,1,8919,130205,0.485714285714286,FALSE,FALSE,TRUE,FALSE,NA
"ABLIM3","+",0,2,0,2,0,1,0,0.128369704749679,0,1,0,149228190,1,FALSE,FALSE,TRUE,FALSE,NA
"ABO","-",6,4,7,6,2,3,0.0641025641025641,0.408163265306122,0.208333333333333,1,21042,52745,1,TRUE,FALSE,TRUE,FALSE,NA
"ABR","-",13,10,17,11,1,2,0.111234705228031,0.552486187845304,0.0757575757575757,1,15687,240123,0.226413860738804,TRUE,FALSE,TRUE,FALSE,NA
"ABRA","-",4,3,4,4,1,1,0.0499001996007984,0.195694716242661,0,1,100125,112790,1,FALSE,FALSE,FALSE,FALSE,NA
"ABRACL","+",2,1,2,1,1,3,0.0291970802919708,0.348432055749129,0,2,13380,34704,1,FALSE,FALSE,FALSE,FALSE,NA
"ABRAXAS1","*",5,4,5,4,1,2,0.0512295081967213,1,0.15,1,8450,27084,1,FALSE,FALSE,FALSE,FALSE,NA
"ABRAXAS2","*",9,11,9,13,1,2,0.114810562571757,0.27027027027027,0.112820512820513,1,48432,78973,1,FALSE,FALSE,FALSE,FALSE,NA
"ABT1","+",0,1,0,1,0,1,0,0.033921302578019,0,1,1722,26601773,1,FALSE,FALSE,FALSE,FALSE,NA
